ID;zoneId;system;name;num_vehicles;x_coordinate;y_coordinate
2645;40195;Stadtmobil;0;3;8,40895;49,00549
2638;40199;Stadtmobil;0;11;8,417586153;49,00450729
2607;40202;Stadtmobil;0;2;8,422892;49,01244
2608;40202;Stadtmobil;0;6;8,424362;49,01093
2616;40204;Stadtmobil;0;3;8,430418968;49,01019
2560;40240;Stadtmobil;0;1;8,191151254;48,7901545
2824;40245;Stadtmobil;0;8;8,364996496;49,00121218
2816;40247;Stadtmobil;0;5;8,462265581;48,99749282
2819;40250;Stadtmobil;0;8;8,493627;49,00592
2713;40253;Stadtmobil;0;1;8,520755768;49,00651726
2712;40254;Stadtmobil;0;2;8,529502;49,00628
2720;40266;Stadtmobil;0;5;8,702931404;48,89472514
2723;40266;Stadtmobil;0;1;8,70287776;48,89548223
2716;40288;Stadtmobil;0;2;8,744425;48,91024
2750;40304;Stadtmobil;0;1;8,574700356;49,02869555
2513;40319;Stadtmobil;20;1;8,817043377;49,10520511
2745;40320;Stadtmobil;0;0;8,853665525;49,10791005
2615;40331;Stadtmobil;0;3;8,591265678;49,12415372
2516;40339;Stadtmobil;23;2;8,71596556;49,12507816
2515;40341;Stadtmobil;22;1;8,74328891;49,10962356
2527;40353;Stadtmobil;33;1;8,647393226;49,21955233
2536;40355;Stadtmobil;8;1;8,547515187;49,08881965
2754;40356;Stadtmobil;0;1;8,52193594;49,05903045
2755;40393;Stadtmobil;0;2;8,249945832;49,05165324
2785;40398;Stadtmobil;0;1;8,19927156;49,07948471
2706;40403;Stadtmobil;0;2;8,125763931;49,19867919
2708;40408;Stadtmobil;0;1;8,11185411;49,19044075
2567;40424;Stadtmobil;0;8;8,388018608;49,00985777
2687;40426;Stadtmobil;0;13;8,380317;49,01014
2688;40426;Stadtmobil;0;3;8,379011;49,01054
2694;40426;Stadtmobil;0;2;8,380022943;49,01096966
2551;40500;Stadtmobil;20;1;8,082796404;48,62541467
2549;40501;Stadtmobil;19;1;8,074408804;48,62734799
2548;40502;Stadtmobil;18;1;8,06616992;48,63314792
2825;40503;Stadtmobil;0;1;8,259526126;48,74487539
2770;40504;Stadtmobil;0;3;8,24239;48,75842
2814;40505;Stadtmobil;0;1;8,237535954;48,75983837
2781;40506;Stadtmobil;0;3;8,240824;48,76268
2803;40508;Stadtmobil;0;1;8,228416443;48,76751866
2792;40509;Stadtmobil;0;2;8,225519657;48,77417961
2559;40510;Stadtmobil;0;2;8,202618;48,77828
2670;40511;Stadtmobil;0;1;8,196086519;48,78159398
2759;40513;Stadtmobil;0;1;8,199872;48,782418
2731;40514;Stadtmobil;0;2;8,207205;48,855296
2729;40515;Stadtmobil;0;2;8,201272488;48,8596705
2728;40516;Stadtmobil;0;2;8,212237;48,86045
2730;40517;Stadtmobil;0;2;8,207881451;48,86097396
2727;40520;Stadtmobil;0;2;8,686763048;48,88321702
2725;40521;Stadtmobil;0;2;8,696574;48,88349
2718;40522;Stadtmobil;0;1;8,703698;48,88888
2721;40523;Stadtmobil;0;0;8,70426178;48,89106183
2714;40524;Stadtmobil;0;1;8,673378;48,8918
